NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
upf,0.00%,22.28MiB / 15.55GiB,7.94kB / 467B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.7kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,9.07kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.35kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.8kB / 3.58kB,0B / 16.4kB,4
smf,0.01%,30.09MiB / 15.55GiB,15.5kB / 6.6kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
ausf,0.00%,7.602MiB / 15.55GiB,12.8kB / 4.1kB,4.1kB / 12.3kB,4
nrf,0.00%,8.895MiB / 15.55GiB,41.6kB / 33.5kB,0B / 8.19kB,4
mongo,0.17%,140.8MiB / 15.55GiB,10.4kB / 61.4kB,8.19kB / 291kB,27
21:19:47.786
NAME,CPU %,MEM USAGE / LIMIT,NET I/O,BLOCK I/O,PIDS
amf,0.00%,8.746MiB / 15.55GiB,14.1kB / 6.17kB,0B / 20.5kB,4
upf,0.01%,22.29MiB / 15.55GiB,8.05kB / 583B,0B / 16.4kB,4
pcf,0.00%,8.367MiB / 15.55GiB,42.8kB / 5.79kB,0B / 16.4kB,4
bsf,0.00%,7.508MiB / 15.55GiB,9.07kB / 2.49kB,0B / 16.4kB,4
nssf,0.00%,7.457MiB / 15.55GiB,9.35kB / 2.84kB,0B / 12.3kB,4
udr,0.00%,8.074MiB / 15.55GiB,39.8kB / 3.58kB,0B / 16.4kB,4
smf,0.02%,30.1MiB / 15.55GiB,15.6kB / 6.72kB,0B / 147kB,40
udm,0.00%,7.605MiB / 15.55GiB,12kB / 4.94kB,0B / 12.3kB,4
